,siteid,stratum,city,AHUS_heating [kBtu],AHUS_cooling [kBtu],BOILERS_heating [kBtu],CHILLERS_cooling [kBtu],HPSACS_heating [kBtu],HPSACS_cooling [kBtu],TERMINALUNITS_heating [kBtu],TERMINALUNITS_cooling [kBtu],totalHeatingCapacity [kBtu],totalCoolingCapacity [kBtu]
0,100016,Multifamily 3,Portland,400,180,,,207,687,1454.365,0,2061.365,867
1,100201,Office 4,Tualatin,745,576,,,0,24,2250,0,2995,600
2,101127,Multifamily 1,Portland,186,89,,,653.9,765,217.217,0,1057.117,854
3,101959,Office 2,Portland,1296,766,,,1296,1152,0,0,2592,1918
4,102217,Retail 5,Albany,2656,2718,,,,,,,2656,2718
5,102938,School 2,Eugene,0,136.4,2700,125,0,120,1583.71,0,4283.71,381.4
6,103148,School 1,Portland,0,0,5600,,0,30,10.23,0,5610.23,30
7,103453,Multifamily 3,Portland,820,480,,,66133.6,252,974.0665,0,67927.6665,732
8,104111,Retail 3,Bend,367,270,379,,31.6,84,186.289,0,963.889,354
9,104148,School 1,Portland,0,190,5580,,0,44,0,0,5580,234
10,104916,Retail 2,Albany,184,0,,,0,0,540,0,724,0
11,105459,Office 2,Albany,712,435,,,0,12,1000,0,1712,447
12,105601,Multifamily 1,Portland,,,,,51.4,69.35,332.816,0,384.216,69.35
13,105632,Multifamily 2,Portland,143,137,,,1071.4,1188.8,721.215,0,1935.615,1325.8
14,105795,School 2,Stayton,495.6,350,,,,,,,495.6,350
15,106207,School 3,Portland,1252,2052,9360,100,54,91.5,148.335,0,10814.335,2243.5
16,106260,Retail 2,Portland,475,300,,,0,24,,,475,324
17,106376,Office 2,Salem,1512,1341.8,,,2040,2232,27161.82,0,30713.82,3573.8
18,107545,Multifamily 1,Portland,59,34.6,,,650.6,372.324,25.575,0,735.175,406.924
19,107643,School 2,Eugene,0,136.4,3000,125,115.2,96,0,0,3115.2,357.4
20,107666,Retail 5,Salem,884,622,,,0,12,38000,0,38884,634
21,108274,Multifamily 2,Beaverton,177,106.2,,,25.6,25,2131.25,0,2333.85,131.2
22,108462,School 1,eugene,0,0,,,516,516,533,0,1049,516
23,108503,School 2,Eugene,0,96,3680,130,0,12,102,49,3782,287
24,108793,Retail 3,Bend,575,527,,,0,9,539.6,0,1114.6,536
25,108855,School 1,Portland,0,0,,,121.9338453,104.3218227,20.46,0,142.3938453,104.3218227
26,109236,School 1,Portland,16,21,,,96,96,5.115,0,117.115,117
27,109651,Multifamily 2,Portland,,,,,252,282,2093.74,0,2345.74,282
28,109765,Retail 1,Portland,748.739,766.81,,,,,,,748.739,766.81
29,109835,Retail 2,Newberg,521,348.5,,,0,60,,,521,408.5
30,109933,School 3,Portland,2816.1,2599.86,1840,,0,120,0,0,4656.1,2719.86
31,110564,Retail 3,Medford,448,399.51,,,0,11.2,4805,0,5253,410.71
32,110719,Retail 4,Sherwood,602,480,,,,,,,602,480
33,111582,Retail 3,Corvallis,736,688,,,24,30.2,137,0,897,718.2
34,112077,Office 4,Portland,0.55,0.245,7600,602,0,175.7,61.38,0,7661.93,777.945
35,112551,Multifamily 5,portland,829,693,1860,,4482.1,4657.75,43573.321,0,50744.421,5350.75
36,112592,Multifamily 3,Portland,360,194.2,,,1648.3,1471.629438,285.9285,0,2294.2285,1665.829438
37,112660,School 3,Portland,0,3996,3848,,205.1,180.4,0,0,4053.1,4176.4
38,113050,School 3,Portland,650,904,4500,294.882,,,0,0,5150,1198.882
39,113650,School 1,Helix,840,0,,,,,3.5805,0,843.5805,0
40,113826,Multifamily 5,Portland,779,420,,,2880.90336,3311.6952,579.018,0,4238.92136,3731.6952
41,114032,Office 1,Medford,0,54.7,,,726,690,825.075,0,1551.075,744.7
42,114342,Multifamily 5,Portland,0,0,2600,,5881.4,5517,91.64375,0,8573.04375,5517
43,114495,Retail 1,Portland,18,0,,,85,190,613.8,0,716.8,190
44,114617,Office 1,Crescent,55.3,0,800,,223,362.3,46.035,0,1124.335,362.3
45,115438,Multifamily 4,Portland,540,240,,,7506,6822.5,303.49,0,8349.49,7062.5
