,totalmeasurement,totalmeasurement,totalmeasurement,totalmeasurement,totalmeasurement,Total Heated Area,Total Cooled Area
spaceconditioning,Cooled Only,Heated Only,Heated and Cooled,Semi-Heated Only,Unconditioned,,
siteid,,,,,,,
100016,300.0,61328.0,61976.0,,48451.18,123304.0,62276.0
100201,,26056.0,17003.0,,,43059.0,17003.0
101127,,2309.0,47244.0,,4011.0,49553.0,47244.0
101959,690.0,,62865.0,,,62865.0,63555.0
102217,,,108792.0,,393859.0,108792.0,108792.0
102938,,245.0,52396.0,,87894.0,52641.0,52396.0
103148,50.0,9248.0,,,87.0,9248.0,50.0
103453,,125618.0,34531.0,,30891.0,160149.0,34531.0
104111,171.0,,10783.0,4103.0,94732.0,10783.0,10954.0
104148,3712.0,16714.0,1285.0,,12057.0,17999.0,4997.0
104916,,8957.05,5156.95,,29340.0,14114.0,5156.95
105459,,55191.0,16540.0,,60700.0,71731.0,16540.0
105601,48.0,24736.0,4663.0,,264.0,29399.0,4711.0
105632,,,81921.0,,23354.0,81921.0,81921.0
105795,,,7175.5,,1005.0,7175.5,7175.5
106207,1199.0,,117958.0,,,117958.0,119157.0
106260,80.0,,18160.0,,12953.0,18160.0,18240.0
106376,1674.0,,63283.0,,1351.0,63283.0,64957.0
107545,26699.0,,18274.4,120.0,200.0,18274.4,44973.4
107643,,,49563.0,,18650.0,49563.0,49563.0
107666,,,44573.0,17022.0,86833.59999999999,44573.0,44573.0
108274,,18525.0,63704.0,,28616.0,82229.0,63704.0
108462,100.0,,30620.0,,585.0,30620.0,30720.0
108503,2000.0,,103630.0,,199830.0,103630.0,105630.0
108793,138.0,439.0,22619.0,14026.0,,23058.0,22757.0
108855,,720.0,4352.0,,675.0,5072.0,4352.0
109236,,505.0,3460.0,,561.0,3965.0,3460.0
109651,53.0,,106087.32,,111320.0,106087.32,106140.32
109765,,,7160.0,,875.9722222222222,7160.0,7160.0
109835,,,9800.0,,42702.0,9800.0,9800.0
109933,900.0,,136295.0,2100.0,2200.0,136295.0,137195.0
110564,80.0,,15671.0,17454.0,166773.0,15671.0,15751.0
110719,,,10771.0,,4691.0,10771.0,10771.0
111582,560.0,,22996.0,12947.0,4792.0,22996.0,23556.0
112077,14852.0,234.0,233427.0,1370.0,482678.0,233661.0,248279.0
112551,,197715.0,194351.0,,514322.0,392066.0,194351.0
112592,,4608.0,101615.0,,46166.0,106223.0,101615.0
112660,5411.0,,144355.0,,99050.0,144355.0,149766.0
113050,2374.0,,234662.0,,2500.0,234662.0,237036.0
113650,,43.0,11355.0,,1155.0,11398.0,11355.0
113826,,15982.0,158039.0,,65738.0,174021.0,158039.0
114032,176.0,,19649.0,1229.0,69775.0,19649.0,19825.0
114342,,,284568.0,,92204.0,284568.0,284568.0
114495,,,5878.0,1576.0,1985.0,5878.0,5878.0
114617,418.0,2288.0,13056.0,818.0,110605.3,15344.0,13474.0
115438,,,287597.08,,80889.08,287597.08,287597.08
