,siteid,stratum,city,AHUS_heating [kBtu],AHUS_cooling [kBtu],BOILERS_heating [kBtu],CHILLERS_cooling [kBtu],HPSACS_heating [kBtu],HPSACS_cooling [kBtu],TERMINALUNITS_heating [kBtu],TERMINALUNITS_cooling [kBtu],totalHeatingCapacity [kBtu],totalCoolingCapacity [kBtu]
0,100016,Multifamily 3,Portland,400.0,180.0,,,207.0,687.0,1454.365,0.0,2061.365,867.0
1,100201,Office 4,Tualatin,745.0,576.0,,,0.0,24.0,2250.0,0.0,2995.0,600.0
2,101127,Multifamily 1,Portland,186.0,89.0,,,653.9,765.0,217.21699999999998,0.0,1057.117,854.0
3,101959,Office 2,Portland,1296.0,766.0,,,1296.0,1152.0,0.0,0.0,2592.0,1918.0
4,102217,Retail 5,Albany,2656.0,2718.0,,,,,,,2656.0,2718.0
5,102938,School 2,Eugene,0.0,136.4,2700.0,125.0,0.0,120.0,1583.71,0.0,4283.71,381.4
6,103148,School 1,Portland,0.0,0.0,5600.0,,0.0,30.0,10.23,0.0,5610.23,30.0
7,103453,Multifamily 3,Portland,820.0,480.0,,,66133.6,252.0,974.0665,0.0,67927.6665,732.0
8,104111,Retail 3,Bend,367.0,270.0,379.0,,31.6,84.0,186.289,0.0,963.889,354.0
9,104148,School 1,Portland,0.0,190.0,5580.0,,0.0,44.0,0.0,0.0,5580.0,234.0
10,104916,Retail 2,Albany,184.0,0.0,,,0.0,0.0,540.0,0.0,724.0,0.0
11,105459,Office 2,Albany,712.0,435.0,,,0.0,12.0,1000.0,0.0,1712.0,447.0
12,105601,Multifamily 1,Portland,,,,,51.400000000000006,69.35,332.81600000000003,0.0,384.216,69.35
13,105632,Multifamily 2,Portland,143.0,137.0,,,1071.4,1188.8,721.215,0.0,1935.6150000000002,1325.8
14,105795,School 2,Stayton,495.6,350.0,,,,,,,495.6,350.0
15,106207,School 3,Portland,1252.0,2052.0,9360.0,100.0,54.0,91.5,148.335,0.0,10814.335,2243.5
16,106260,Retail 2,Portland,475.0,300.0,,,0.0,24.0,,,475.0,324.0
17,106376,Office 2,Salem,1512.0,1341.8,,,2040.0,2232.0,27161.82,0.0,30713.82,3573.8
18,107545,Multifamily 1,Portland,59.0,34.6,,,650.6,372.324,25.575000000000003,0.0,735.1750000000001,406.92400000000004
19,107643,School 2,Eugene,0.0,136.4,3000.0,125.0,115.2,96.0,0.0,0.0,3115.2,357.4
20,107666,Retail 5,Salem,884.0,622.0,,,0.0,12.0,38000.0,0.0,38884.0,634.0
21,108274,Multifamily 2,Beaverton,177.0,106.19999999999999,,,25.6,25.0,2131.25,0.0,2333.85,131.2
22,108462,School 1,Eugene,0.0,0.0,,,516.0,516.0,533.0,0.0,1049.0,516.0
23,108503,School 2,Eugene,0.0,96.0,3680.0,130.0,0.0,12.0,102.0,49.0,3782.0,287.0
24,108793,Retail 3,Bend,575.0,527.0,,,0.0,9.0,539.6,0.0,1114.6,536.0
25,108855,School 1,Portland,0.0,0.0,,,121.93384532,104.32182268,20.46,0.0,142.39384532,104.32182268
26,109236,School 1,Portland,16.0,21.0,,,96.0,96.0,5.115,0.0,117.115,117.0
27,109651,Multifamily 2,Portland,,,,,252.0,282.0,2093.7400000000002,0.0,2345.7400000000002,282.0
28,109765,Retail 1,Portland,748.739,766.81,,,,,,,748.739,766.81
29,109835,Retail 2,Newberg,521.0,348.5,,,0.0,60.0,,,521.0,408.5
30,109933,School 3,Portland,2816.1,2599.8599999999997,1840.0,,0.0,120.0,0.0,0.0,4656.1,2719.8599999999997
31,110564,Retail 3,Medford,448.0,399.51,,,0.0,11.2,4805.0,0.0,5253.0,410.71
32,110719,Retail 4,Sherwood,602.0,480.0,,,,,,,602.0,480.0
33,111582,Retail 3,Corvallis,736.0,688.0,,,24.0,30.2,137.0,0.0,897.0,718.2
34,112077,Office 4,Portland,0.55,0.245,7600.0,602.0,0.0,175.7,61.38,0.0,7661.93,777.9449999999999
35,112551,Multifamily 5,Portland,829.0,693.0000000000001,1860.0,,4482.1,4657.75,43573.320999999996,0.0,50744.420999999995,5350.75
36,112592,Multifamily 3,Portland,360.0,194.2,,,1648.3,1471.6294375,285.92850000000004,0.0,2294.2285,1665.8294375
37,112660,School 3,Portland,0.0,3996.0,3848.0,,205.10000000000002,180.39999999999998,0.0,0.0,4053.1,4176.4
38,113050,School 3,Portland,650.0,904.0,4500.0,294.882,,,0.0,0.0,5150.0,1198.882
39,113650,School 1,Helix,840.0,0.0,,,,,3.5805,0.0,843.5805,0.0
40,113826,Multifamily 5,Portland,779.0,420.0,,,2880.90336,3311.6951999999997,579.018,0.0,4238.92136,3731.6951999999997
41,114032,Office 1,Medford,0.0,54.7,,,726.0,690.0,825.075,0.0,1551.075,744.7
42,114342,Multifamily 5,Portland,0.0,0.0,2600.0,,5881.4,5517.0,91.64375000000001,0.0,8573.043749999999,5517.0
43,114495,Retail 1,Portland,18.0,0.0,,,85.0,190.0,613.8000000000001,0.0,716.8000000000001,190.0
44,114617,Office 1,Crescent,55.3,0.0,800.0,,223.0,362.29999999999995,46.035000000000004,0.0,1124.335,362.29999999999995
45,115438,Multifamily 4,Portland,540.0,240.0,,,7506.0,6822.5,303.49,0.0,8349.49,7062.5
