,siteid,totalconditionedfloorareaofallbuildings,detail.primarybuildingtypecategory,city,ua.total,Envelope Loss [kBtu]
0,100016,122970.0,Multifamily,Portland,8137.35076086957,382.4554857608698
1,100201,,Office,Tualatin,7583.092,356.40532399999995
2,101127,49553.0,Multifamily,Portland,5160.63979591837,242.55007040816335
3,101959,140598.0,Office,Portland,4275.508684,200.94890814800002
4,102217,108792.0,Retail,Albany,12540.126,591.8939472000001
5,102938,52641.0,School,Eugene,4273.76455058667,210.26921588886418
6,103148,,School,Portland,1614.604,75.88638800000001
7,103453,164179.0,Multifamily,Portland,10084.7443076923,473.98298246153803
8,104111,28476.0,Retail,Bend,2460.48,164.360064
9,104148,45791.0,School,Portland,2810.26,132.08222
10,104916,14114.0,Retail,Albany,4830.07736666667,227.97965170666683
11,105459,174600.72,Office,Albany,13823.8246,652.4845211200001
12,105601,29400.0,Multifamily,Portland,2612.54211428571,122.78947937142836
13,105632,80937.0,Multifamily,Portland,8488.99407346939,398.98272145306134
14,105795,54691.0,School,Stayton,1276.636,61.661518799999996
15,106207,243000.0,School,Portland,18763.6314,881.8906757999999
16,106260,16400.0,Retail,Portland,2178.7118,102.3994546
17,106376,66500.0,Office,Salem,8367.606,404.15536979999996
18,107545,45093.0,Multifamily,Portland,3480.74782068966,163.59514757241402
19,107643,49563.0,School,Eugene,4688.105,230.654766
20,107666,98000.0,Retail,Salem,12377.18071,597.817828293
21,108274,81512.0,Multifamily,Beaverton,7365.76358510638,346.1908884999998
22,108462,,School,Eugene,3756.266,184.80828720000002
23,108503,105630.0,School,Eugene,12266.8056382979,603.5268374042566
24,108793,,Retail,Bend,6882.011475,459.71836653
25,108855,52096.0,School,Portland,971.356,45.653732
26,109236,50026.0,School,Portland,1254.63,58.96761000000001
27,109651,108800.0,Multifamily,Portland,7844.8817,368.7094399
28,109765,7160.0,Retail,Portland,1939.01195,91.13356165
29,109835,9800.0,Retail,Newberg,1730.388,81.32823599999999
30,109933,141491.0,School,Portland,14427.90559625,678.11156302375
31,110564,33125.0,Retail,Medford,4999.43942857143,245.97241988571437
32,110719,32953.0,Retail,Sherwood,2527.276,118.781972
33,111582,23556.0,Retail,Corvallis,4764.28228,224.87412361600002
34,112077,266795.0,Office,Portland,26133.946,1228.295462
35,112551,403566.0,Multifamily,Portland,36578.3091846154,1719.1805316769237
36,112592,159293.0,Multifamily,Portland,11521.838,541.5263859999999
37,112660,149833.0,School,Portland,13021.98,612.03306
38,113050,,School,Portland,19550.7542,918.8854474
39,113650,29581.0,School,Helix,1442.613,92.03870939999999
40,113826,,Multifamily,Portland,14540.1124068966,683.3852831241402
41,114032,21302.0,Office,Medford,2535.392,124.74128639999999
42,114342,309574.0,Multifamily,Portland,21898.206,1029.215682
43,114495,7454.0,Retail,Portland,2077.9352,97.66295439999999
44,114617,15762.0,Office,Crescent,1449.08935,96.79916858
45,115438,353359.0,Multifamily,Portland,17316.7667228589,813.8880359743683
